id,string
27,kɐlɪ phɔʃukt̪ ɔnekɟɔne d̪ɪʃe ettɐ
28,kɪ t̪ɐ kɪ
29,o͡ɪ̯ɟe t̪ɐɾɐɾ ɟẽ t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hoɾɪn nɐ
30,t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hoʃɪl
31,ɐʃole e͡ɪ̯t̪ɐ ho͡ɪ̯lo ʃɐmone d̪ɪɾbɦok d̪ekhɐ d̪ɪbe t̪ɐɾ ɛkt̪ɐ ʃɔɾon
32,ɐɾe etɐ bol ɟekon ɛktɐ ʃɔmɔln mu͡ɪ̯ t̪o ko͡ɪ̯ʃu d̪ekhɪjɐ
33,kɔ͡ɪ̯lkɐ bole t̪ɐmɐn ɐʃɐn bole ɪjɐ ho͡ɪ̯be
34,e͡ɪ̯ ɟɔne ɔneke ko͡ɪ̯ce ɟe ɛk bɔʃɐɾeɾ khɐbɐɾ moɟɪt̪ ɾɐkhɐɾ ɟɔne
35,ɐllɐ
36,ɾɐɟɐ pɔnoɾo d̪ɪnot̪o khɐbɐɾ kɪc mɔɟɪt̪ ɾɐkhɐɾ ɟɔnt̪e
37,ʃɐd̪ɐɾe
38,ʃɔbɐɾ nɐ bɪʃoʃeʃ ɟɔɾe bolece ɐɾ kɪ
39,d̪ɦuɾ o͡ɪ̯glɐ kɔt̪ɐ ko͡ɪ̯ʃ nɐ bɐd̪ɐɾ
40,ʃɐd̪eɾe d̪ee̯ nɐ͡ɪ̯ e͡ɪ̯ ʃono ɛkn e͡ɪ̯ ɟe bɔɾʃɔmɐneɾ ɟɔg
41,ɟɐmɐɾ moɟɪt̪ ɾɐge t̪ɐmɐɾe ɛkn khɐbɐɾ pɐe̯ nɐ
42,e͡ɪ̯tɐe̯ ɟɐnɪ ɾɐk
43,ʃe͡ɪ̯tɐ t̪o pɐne nɐ kɪnt̪u ɔneke͡ɪ̯ ko͡ɪ̯ce ɐɾ kɪ ɟe ʃuʃbɐɾ pɐt̪om ɾɔmɟɐn ʃuʃbɐɾ mɐɟeɾ ɾɔmɟɐn ʃuʃbɐɾ mɐɟeɾ ɾɔmɟɐn ʃuʃbɐɾ mɐɟeɾ ɾɔmɟɐn ʃuʃbɐɾ 
44,ɛktɐ cɪd̪d̪d̪ɦɐ d̪ekhɐ gelo ɐʃɐnd̪ɔt̪ e͡ɪ̯tɐ ho͡ɪ̯lo ʃɔbɦɔɾon ɛktɐ ɐgɾon ɛktɐ ɐhɐmɾɔt̪o e͡ɪ̯tɐ ho͡ɪ̯lo ʃɔbɦɔɾon ɛktɐ ɐhɐmɾɔt̪o e͡ɪ̯tɐ ho͡ɪ̯lo ʃɔbɦɔɾon
45,ʃɐkɾbɐɾ ʃɐmɐɾbɐɾ t̪o pɔɾbe bɐɟot̪ ʃɔmɐne ɾomɟɐn ʃɐmɐɾe pɔɾe nɐ͡ɪ̯
46,pɔ͡ɪ̯ɽcche t̪o ʃɔlɐl t̪ɐɾɪt̪
47,pɔɽche t̪o
48,pɔneɾo t̪ɐɾɪt pɔɾbe nɐ ʃumbɐɾ
49,ʃolo t̪ɐɾɪk ʃolo
50,ʃolo t̪ɐɾɪk koɾben
51,ho͡ɪ̯t̪ɪ pɐt̪om ɾɔmɟɐn ʃuɾbɐɾ ho͡ɪ̯lo nɐ
52,t̪ɐ͡ɪ̯le mɐɟeɾ ɾɔmɟɐn͡o̯ ʃuɾbɐɾ ɐ͡ɪ̯ʃe
53,mɐɟeɾ pɾot̪ɪd̪ɪn t̪o koɾt̪e ɐcɪ ʃuʃbɐɾ t̪o ɐɾe mɐɟeɾ ɾomɟɐneɾ kɔt̪ɐ ko͡ɪ̯ce
54,mɐɟeɾ ɾomɟɐn pɔnoɾo pɐɾ ho͡ɪ̯le
55,hoh
56,ʃolo ɾɐɟɐ ʃe͡ɪ̯tɐ ʃumbɐɾ pɔɽbe
57,e͡ɪ̯ t̪o ɐgeɾ bɐlɐ͡o̯ e͡ɪ̯ mot dɐkpɐɾ d̪ɐkce mu͡ɪ̯ kɔ͡o̯ oɾe ɐllɐ͡ɪ̯tɐ ʃɔbɐ͡ɪ̯ mɐne d̪ekpe tɐ͡o̯ ko͡ɪ̯ce
58,ʃɔbɐɾ cɔloke pɔɽbe
59,e͡ɪ̯gɐ ʃono moɾɐnmɐnko e͡ɪ̯gɐ kɪcu ko͡o̯wɐ ɟɐbɐnɐe̯ ɟɐɾ kɐɾon
60,o͡ɪ̯ ɟe ɛkbɐɾ ho͡ɪ̯lo cɐ̃d̪eɾ mɔd̪d̪e kɪ
61,oɾe ɐllɐ
62,o͡ɪ̯ ɟe ʃɐ͡ɪ̯d̪ɪ boʃɪ ɐce
63,e͡ɪ̯gɐ ko͡o̯wɐ ɟɐe̯ nɐ
64,t̪ɐ͡ɪ̯ ɟe ɛkbɐɾe nɐphɔɾmɐnɪ ɟɐmɐɾ e͡ɪ̯tɐ bɪʃʃo ko͡ɪ̯ɾbe
65,e͡ɪ̯tɐ bolɐ ɟɐbe nɐ
66,ɐɾe otɐ ɛktɐ bɦɐjɐ ɛktɐ ɪjɐ͡o̯ ɾɐ͡ɪ̯chɪlo
67,o͡ɪ̯ɟe ʃɐ͡ɪ̯d̪ɪ pɐgɾɪ d̪ɪjɐ boʃɪ ɐce
68,o͡ɪ̯ ɟe ɐmɐɾ ɐchɪlo nɐ
69,moɾ ʃɐt̪e e͡ɪ̯ ɟe kɐɟɐnɪ e͡ɪ̯khɐn nɪjɐ
70,kɔe̯ kɪ
71,kɔe̯ bole ɐʃole o͡ɪ̯tɐ ʃɐ͡ɪ̯d̪ɪ
72,bole t̪u͡ɪ̯ moʃɐmɐne no͡u̯ʃ
73,ɐllɐɾ kɐce ɐɾɐd̪ɐ koɾɪ ɐɾ mɔt̪onɐ koɾɪ
74,ɐllɐ ɟe kɪ koɾbe
75,ɐce ode
76,kɛmon ɐllɐe̯ ɟod̪ɪ ɪmɐn ɐmɐne ɟod̪ɪ bɐnɪʃ koɾɐe̯ ʃe͡ɪ̯tɐ ɐllɐɾ kɐce bɪʃɐl
77,ʃe bɪjɐ koɾce
78,ho ɐɟhɐɾ bɪjɐ koɾce phɪɾ chɐ͡o̯wɐ ho͡ɪ̯ce uɾɐɾ
79,ɐɟhɐɾ bɪjɐ koɾce phɪɾ moɾe ho͡ɪ̯lo ɪkɛk d̪ɦɔɾ moɾ o͡ɪ̯ ɟɛtɐtɐt̪o bo͡ɪ̯neɾ bɪjɐ hɔe̯ nɐ͡ɪ̯
80,t̪ɐɾe nɐ͡ɪ̯d̪o bɪjɐ koɾce d̪ɛktco mu͡ɪ̯
81,o͡ɪ̯ ɟe omɐɾ bɐɽɪt̪o ɟe ɐchɪlo
82,ɐɾe omɐɾ bɐɽɪt̪o nojɐe̯
83,ɐɾe kon ɐmɐɾɐɾeɾ kɔt̪ɐ kɔɾ
84,ɛte ɟe phɐɾɐmt̪ ɐchɪlo
85,ho ʃe͡ɪ̯ ɐmɐɾeɾ kɔt̪ɐ koɾ nɐ nɐnɐ o͡ɪ̯ ɪcɐkɐpɐɾeɾ ɐmɐɾ
86,o ʃe͡ɪ̯ ɐmɐɾ bɪjɐ koɾe nɐ͡ɪ̯
87,bɪjɐ koɾce dɪpɐʃ ho͡ɪ̯ce ɐbɐɾ
88,e͡ɪ̯kɐe̯ ɪcɐkɐd̪ɐɾeɾ ɐmɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ ɪcɐkɐd̪ɐɾ 
89,ellɐ o͡ɪ̯ ɟe ujɛɾ cɐct̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ ɟɛtɐt̪o bɦɐ͡ɪ̯ 
90,o͡ɪ̯ ɐmɐɾeɾ ʃɐt̪e ujɐɾ mɪne nɐ͡ɪ̯
91,nɐ go ɟɐ͡ɪ̯
92,ɐ͡ɪ̯ɟkɐ kɪ khɐ͡o̯wɐd̪ɐ͡o̯wɐ kɪ koɾce
93,ɐ͡ɪ̯ɟkɐ ho͡ɪ̯lo dɐ͡ɪ̯l dɪm dɐ͡ɪ̯l ɐbɐɾ phɪɾ bɦɐt̪t̪t̪t̪ɐt̪ɐ mɐc ɐce
94,kɪnt̪u ʃo͡ɪ̯nd̪ɦɐe̯ t̪o o͡ɪ̯ dɪmdɐ͡ɪ̯l ɐɾ
95,e͡o̯ t̪o cɐcɪ ɾɐɟɐ t̪hɐke nɐ
96,nɐ ʃo͡ɪ̯nd̪ɦɐm ɐɾ ɾɐ͡ɪ̯t̪o ʃɪhɐɾɪɾ ʃɔmɐe̯ cɐcɪ ɾɐɟɐ t̪hɐke nɐ
97,hum t̪hɐke
98,ɾɐɟɐ t̪hɐ͡ɪ̯kpɐnɐe̯
99,ʃɪhɐɾɪɾ ʃɔmɐe̯ ɛkbɐɾ e͡o̯ koɾɪm bɐ͡ɪ̯gono o͡ɪ̯gɐ bɦɐɟɪm dɪm bɦɐɟɪm
100,o͡ɪ̯ ɟe ge͡ɪ̯ce ɾo͡ɪ̯
101,kɔ͡ɪ̯lkɐ mɐc ɐnd̪ɪm lɐ͡u̯ d̪ɪjɐ
102,lɐ͡u̯kɐ kɔ͡ɪ̯lpɐɾ nɐ͡ɪ̯gbe
103,o͡ɪ̯ phɪɾd̪ɪɾ mɐ͡o̯ lɐ͡u̯ d̪ɪjɐ ɐcce o͡ɪ̯nd̪ɦon ɐnd̪ɪbɐɾ kɔt̪o
104,kɛ ɾe͡ɪ̯
105,phɪɾd̪uɾ mɐ͡o̯ ko͡ɪ̯lkɐe̯ nɪjɐ ɟɐbe nɐ ɐ͡ɪ̯ɟkɐe̯ nɪjɐ ɟɐ͡ɪ̯be
106,mɐc nɐ͡ɪ̯
107,lɐ͡u̯ khɐbɐnɐe̯
108,mɐc nɪjɐ ɐ͡ɪ̯ʃo hɐp keɟɪ ɟɐjɐ
109,kɔ͡ɪ̯lkɐ mokogo nɪjɐ ɟɐbɐɾ ko͡ɪ̯lo mu͡ɪ̯ koŋ mɐc t̪hu͡ɪ̯coŋ mu͡ɪ̯ koŋ mɐc t̪hu͡ɪ̯coŋ mu͡ɪ̯ koŋ mɐc t̪hu͡ɪ̯nʃoŋ d̪e͡o̯ hɐjɐk d̪ɪlo nɐ kɛ
110,lɐ͡u̯
111,lɐ͡u̯ khɐn
112,lɐ͡u̯ nɐ͡ɪ̯ t̪o
113,ɔ͡ɪ̯knɐe̯ mu͡ɪ̯ nɪjɐ genu hɔe̯
114,lɐ͡u̯ khɐn t̪oɾɐ
115,mɐc t̪hu͡ɪ̯cŋ
116,khɐe̯ nɐ
117,ɐmɐe̯ bole lɐ͡u̯ ɐnɐ lɐgbe
118,lɐ͡u̯ ʃɐd̪eɾ lɐ͡u̯
119,o͡ɪ̯ mɪnɪɾ mɐ͡õ̯ɾ lɐ͡u̯ ɐce
120,o͡ɪ̯ ɐnd̪ɪle mu͡ɪ̯ omɐɾ t̪hɐkɪ nɪjɐ ɟɐ͡ɪ̯m
121,omɐɾ lɐ͡u̯ ʃeɟe nɐ
122,ebɐɾ lɐ͡u̯ phɪɾ d̪ekho t̪o kɔjtɐ bɐze
123,bɪʃɪɾ mɐɾ lɐ͡u̯ phɪɾ hɔɾgɔle hɔjɐ ɟɐe̯
124,ʃɐɽe cɐ͡ɪ̯ɾte bɐɟe
125,ɛke ho͡ɪ̯lɔ͡o̯ gɦɔɾgulle ɛke kɛke pɐcɐ ho͡ɪ̯lɔ͡o̯ ɐɾo hɔlgulle
126,e͡ɪ̯lt̪e kɪnt̪o nɐ͡u̯ nɐ͡ɪ̯jɐe̯
127,mu͡ɪ̯ o͡ɪ̯ mɐch o͡ɪ̯ lɐ͡u̯jeɾ ɟɔnt̪e mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯lke mu͡ɪ̯ lɐ͡u̯ lɐ͡u̯ mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯lke mu͡ɪ̯ lɐ͡u̯ mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯
128,kode t̪hɐkɪ lɐ͡u̯ nɪben
129,kɐɾ lɐ͡u̯
130,moɾ bɦɐ͡ɪ̯te e͡ɪ̯ kɔjd̪ɪn ɐchɪlo
131,mɐch kenɐ nɐge nɐ͡ɪ̯
132,kɛ kode t̪heke ɐɟ kɔt̪od̪ɪn t̪hɪkɪ kɪbe
133,oɾe ɐllɐh
134,o͡ɪ̯ ɟe cɐɾmenok bɪɟɪ ɾɐkhche
135,ɛkbɐɾe ɛk moɾ koɾɪ ɐnchɪlo
136,ɐd̪ɦ moɾɪ ɐnchɪlo
137,ɟe ɛkhonɐ ho͡ɪ̯lo chɔjtɐ bɐɾo t̪eɾokhen lɐ͡u̯je d̪ɦɐche ɐgeɾ chɔjtɐ
138,ɐɾo pɐʃtɐ e͡ɪ̯ ɟe ʃɐg ɟe bɐchɪlo ʃɐg d̪ehɐ pɐt̪ɐ kɔt̪okɐnɐ dɐtɐgulle d̪ehɐ kɔt̪ɔgulle
139,obɐɾ bɐɾo t̪eɾdɐ d̪ɦɐkchɪlo
140,e͡ɪ̯ gɐche d̪ɦɐche chɔjtɐ
141,hɐmɐɾ ɛkd̪ɪn ɛktɐ khɐchɪ
142,e͡ɪ̯t̪e
143,ed̪ɪ ɾe phɪɾ eɾ phɪɾ mɪchɐ kɔt̪ɐ ʃund̪ɪne hɔe̯ e͡o̯ hɔe̯ kɔjd̪ɪn d̪eche
144,kɐe̯
145,khɐbɐɾ ko͡ɪ̯chom
146,d̪ee̯ nɐ͡ɪ̯ e ko͡ɪ̯ moɾ bɦɐk d̪ɐche
147,e͡ɪ̯
148,d̪ehɐ t̪o
149,mok ɟe ko͡ɪ̯chom moɾ bɦɐk nɐgche mok
150,mɐŋ kotɐ mɐŋ
151,hɐ hɐ hɐ
152,mɐŋ
153,e bɐʃɐcɐ
154,lɐ t̪o o͡ɪ̯ ɟe ejɐɾ bole
155,odɐ ɪjɐɾ bɐɽɪt̪o t̪hu͡ɪ̯che t̪o
156,nɐ moɾ bɐ͡ɪ̯t̪o ɟɐmɪ͡ɪ̯ɾ bɐɽɪt̪o t̪hu͡ɪ̯che ɾɐkhche
157,ɾɔŋpɐɾt̪o ɟe͡ɪ̯te bɐʃɐ
158,sɪlɪ͡ɪ̯ koɾe nɐ͡ɪ̯ bole
159,teh lɐge lɐge d̪ɪche
160,teh nɐge d̪ee̯
161,o͡ɪ̯pɐʃe ɾoʃ pɔɽe
162,ɾo pɔɽɪ pɔɽɪje ɪjɐ ho͡ɪ̯be
163,phɐle d̪ɪbeɾ nɐe̯
164,gɐ͡o̯ d̪ɦo͡o̯ nɐ͡ɪ̯
165,e͡ɪ̯d̪eon phun ho͡ɪ̯be
166,o͡ɪ̯d̪eon phun hobɐɾ nɐe̯
167,o͡ɪ̯pɐʃe ɾɔd pɔɽɪ pɔɽɪ pɔɽɪ pɔɽɪ bɦɐlo nɐge nɐ
168,mɔnuʃlɐ pɔɽɪ pɔɾt̪o koɾɪ d̪ɪbe
169,t̪ɐɾ pɔɾeʃɐne ʃukɪje mɐʃɐɾɪt̪ bɦɐlo lɐge
170,ɐɾ t̪hɐkɪne bɐbɐ ɟɐ͡ɪ̯
171,kɪ ɐnd̪ɪben betɪ
172,kɐpʃɐk koɾom mɐch pɐ mɐch begun ɐlu kɐlɐ͡ɪ̯ɾ bɔɾɐ bɦɐɟom d̪u͡ɪ̯te
173,e͡ɪ̯te e͡ɪ̯te d̪ekhɪ mɐd̪ɐɾɐt̪ pɔɽɐ
174,e͡ɪ̯ nɪje ɟɐe̯ nɐ kɛmbɐ e͡ɪ̯
175,ɐllɐe̯ ɟɐne
176,kɪ ɟe ʃɔjt̪ɐn dɦukche
177,pɔ͡ɪ̯ɽbeɾ nɔ͡ɪ̯ʃ ɐɾ mɐd̪ɐɾɐ
178,kɪ ko͡ɪ̯
179,ɟod̪ɪkel ko͡ɪ̯ gɐjɐɾ ɐpɾ d̪ɪje ɟɐ͡ɪ̯be bole bo͡ɪ̯
180,ɟɐɽe kɔ ehonɐ
181,buɟchɪʃ
182,ɐɾ o͡ɪ̯ ɟe kɔe̯ ɟe mɪlɪ betɪ ʃun
183,o͡ɪ̯ ɟe ɐgeɾkɐɾ mɐ͡ɪ̯nʃe ko͡ɪ̯che gɐch guɾle hɔe̯ gotɐ
184,bɐp gujene hɔe̯ betɐ
185,mɐ͡o̯ gujene hɔe̯ chɐ͡o̯
186,phutɐe̯ guɾone hɔe̯ nɐ͡o̯
187,e͡ɪ̯ld̪e elɐ͡o̯ e͡ɪ̯ld̪e mɪt̪t̪ɪje
188,hɔe̯ e͡ɪ̯ɾɔkom
189,hɔe̯ nɐ mɐne
190,ɔboʃʃo͡ɪ̯
191,hɔe̯
192,hɐmɐɾ mɐ ɟemon ɟɔnnɐn gɦɔɾmon koɾɪ hɐmɐɾ mɐ͡o̯k gɦɔɾon d̪ekhchɪ od̪eon koɾɪ hɐmɐɾ ɛknɐ kɪchu ʃɪkchɪ
193,o͡ɪ̯ ɟe ʃɐɟɐneɾ bɐp ɟɦɔɾmon ʃɐɟɐne d̪ekhche ɛkhonɐ kɪchu kɪchu
194,kɐɟ kɐɟeɾ d̪ɦon ʃɐɟɐneɾ kɪnt̪u ɐlce
195,ʃɐt̪ɪɾ mɐ͡o̯ ɟemon cɔle ʃe͡ɪ̯d̪u kɪc d̪ɦɔɾond̪ɦon ʃɐt̪ɪɾ ɐlce
196,ɐɾɔ͡o̯ kuhɐ
197,ɔt̪o nojɐe̯
198,kɔt̪ɐ thɪke ɐgeɾ mɐ͡ɪ̯nʃe ɟe ko͡ɪ̯ce thɪke kɔt̪ɐ khɐɾɐp nɐ͡ɪ̯jɐe̯
199,o͡ɪ̯ ɟe e͡ɪ̯ d̪ɪnot̪o ʃɐɾɪn ɐɾ phɪɾuɟ homu
200,phɪɾuɟ ɛknɐ ɛkkeɾe gotɐle ujɛɾ bɐpeɾ mɔt̪on d̪ɦɔɾongɔɾon kɔt̪ɐbɐt̪ɐɾɐ cɐɾʃɪʃeɾ ʃɐt̪e ɛ͡o̯ kɔɾɐ o͡ɪ̯tɐ ɐce
201,ɐɾ ʃɐɾɪntɐ ho͡ɪ̯ce d̪unɪjɐɾ muk mot̪ɐ
202,ʃɐhɪntɐ ho͡ɪ̯ce ujɐɾ mɐɾ mɔt̪o
203,ɐɾ phɪluɟ ho͡ɪ̯ce ujɛɾ bɐpeɾ mɔt̪om
204,e͡ɪ̯llɐ kɐɾ gɦɐʃ ed̪ugulɐ
205,o mɐɾe gɦɐʃ t̪ulɪ nɪjɐ ɐ͡ɪ̯no
206,bole ɛktɐ ɟe kono ɛktɐ ɪŋgɪt̪o ge͡ɪ̯che
207,ɟe ede ɟe pɐnd̪ɦom ɾɔmɟɐn kemon d̪ekchen
208,pɐnd̪ɦom ɾɔmɟɐn
209,e͡ɪ̯ ɟe noɾe nɪje nɪjɐe̯ nechot̪o nechot̪o ho͡ɪ̯lo pɐnd̪ɦom ho͡ɪ̯che bɐ bɐ pɔɾeɾd̪ɪn ho͡ɪ̯che bɐt̪ ɛktɐ phetɐ nechot̪
210,e͡ɪ̯ pɐt̪om ɾɔmɟɐn ʃuɾbɐɾ
211,phonɐ e͡ɪ̯ phetɐtɐ nechot̪
212,mɐɟeɾ ɾomɟɐn ɐce nɐ
213,edɐ͡o̯ ho͡ɪ̯lo ʃumɾbɐɾ
214,e͡ɪ̯dɐ nobɪ ɐɾdɐllɐm bole kɔ͡ɪ̯t̪hɔm ɾɔmɟɐn ʃumbɐɾ ho͡ɪ̯be ɟe pɐnd̪ɦom ɾɔmɟɐn ʃumbɐɾ ho͡ɪ̯be
215,ʃolo t̪ɐɾɪk ɐce nɐ
216,ʃolo t̪ɐɾɪk͡o̯ ho͡ɪ̯lo ʃumɾbɐɾ
217,bɐ bɐt̪ t̪o phetɐ ɐce
218,ho o͡ɪ̯ phetɐ ɐce t̪o
219,e͡ɪ̯ ɟe ede ʃɔbɦɐʃ d̪ekhɐ d̪ɪbe ɟɐɾe
220,ʃetɐ ɐhɔɾon muhɐmmd̪ ɐɾɐllɐmɐlɐmne bole kɔjɐ ge͡ɪ̯ce
221,t̪ɐɾ ɐɾot̪o
222,ellɐ kemon ɐcɪʃ
223,kɛmon ɐcɪʃ
224,ɐlhɐmd̪d̪ɦɐlɪllɐ bɦɐlo
225,t̪oɾ ʃɐt̪e eɾɐ goʃɪgulɔɟob koɾɪm mobɐ͡ɪ̯lot̪o ɾɔɾdɐ koɾɪm ʃɔmoʃʃɐ ho͡ɪ̯be
226,eɾɐ koɾɪm ɐɾ kɪ
227,gɔt̪ɪgulɔɟbo koɾom ɐlɐpɐ͡ɪ̯lɐʃt̪ɐ koɾom ɐɾ kɪ
228,ʃɔmoʃʃɐ ho͡ɪ̯be
229,ʃɔmoʃʃɐ kɪ
230,t̪o ʃɔmoʃʃɐ
231,t̪o ettɐ nɐm t̪oɾ nɐm kɪ
232,d̪eloe̯ɾ mɔthɔl
233,o t̪oɾ bɔjoʃ kɔt̪o cɪlbɐɾ nɐgce elɐ
234,ɛkʃo edɐɾo
235,ɛkʃo edɐɾo bochoɾ cɔle
236,elɐ ɪjɐ ɾɐɟɐ ɐchɪʃ t̪o nekɪ
237,ho oɟɐ
238,bɦɐt̪ kɪ d̪ɪ khɐchɪʃ
239,bɦɐt̪ mɐch
240,ɔh
241,t̪ɐ khɐ͡o̯wɐ d̪ɐ͡o̯wɐ bɦɐloe̯ ho͡ɪ̯t̪eche
242,kɪ mɐch d̪ɪje khɐlu
243,kɪ mɐch
244,ɪlɪʃ mɐch
245,ɪnɪʃ mɐch d̪ɪje khɐchɪʃ
246,kode pɐlu ɪndɪn mɐch
247,kɐe̯ ɐnche
248,ɔ͡ɔ̯
249,t̪e ɪjɐ mojɐɟnɪ cɔɽche t̪o bɦɐloe̯ nɐkɪ
250,kono ɟɦut ɟɦɐmelɐ nɐ͡ɪ̯
251,ɟɦut ɟɦɐmelɐ nɐ͡ɪ̯
252,o t̪ɐ͡ɪ̯le khɐ͡o̯wɐd̪ɐ͡o̯wɐ mɐnuʃe koɾɐe̯ bɦɐlobɦɐbe
253,khɐ͡o̯wɐd̪ɐ͡o̯wɐ koɾɐe̯ t̪o
254,ko͡ɪ̯l kɐɾ bɐɽɪt̪o khɐ͡ɪ̯ce
255,ko͡ɪ̯l
256,phul cɐcɐɾ bɐɽɪt̪o
257,o t̪ɐɾ ɐgeɾ d̪ɪn
258,hɐnɪpeɾ bɐɽɪt̪o
259,hum t̪ɐɾpɔɾe ɟɪlɪleɾ hoɾe bɐɽɪt̪o khɐ͡ɪ̯ce
260,ɟɪlɪleɾ bɐɽɪt̪o khɐc
261,kɐɾ bɐɽɪt̪o kemon khɐ͡o̯wɐd̪ɐ͡o̯wɐ ko͡ɪ̯ɾle
262,bɦɐloe̯ khɪlɐ͡ɪ̯ce
263,kɐɾ bɐɽɪt̪o kemon
264,ʃɔbɐɾe bɐɽɪt̪e bɦɐloe̯ khɪlɐ͡ɪ̯ce
265,t̪ɐɾomd̪d̪e kɐɾ kɐɾ bɐɽɪt̪o khɐ͡o̯wɐ bɦɐlo ho͡ɪ̯ce
266,kon ɾɐnnɐtɐ kemon koɾɪce kɪ ʃɔbʃɐɾ kɔ͡o̯ d̪ekhɔŋ
267,kon ɾɐnnɐtɐ kemon ho͡ɪ̯ce
268,ɟulɪleɾ bɐɽɪt̪o kɪ kɪ khɪlɐ͡ɪ̯ce
269,mɐc goʃ
270,dɛ͡ɪ̯l bɦɐt̪
271,t̪ɐ͡ɪ̯le ɪjɐ khɐ͡o̯wɐ ʃɔbcɐ͡ɪ̯t̪e kɐɾ bɐɽɪt̪o bɦɐlo ho͡ɪ̯ce
272,ɾeɟɐɾ bɐɽɪt̪o nɐ hɐnɪph ɟɐd̪ɪɾ bɐɽɪt̪o nɐ phɔɾɪd̪ɪn ɟɛɾ bɐɽɪt̪o
